[BILLING] loaded!
[BILLING] Re-emitting cost at job start!

                                                       █████                █████
                                                      ░░███                ░░███
     ████████    ██████   ████████    ██████   ██████  ░███████    ██████  ███████
    ░░███░░███  ░░░░░███ ░░███░░███  ███░░███ ███░░███ ░███░░███  ░░░░░███░░░███░
     ░███ ░███   ███████  ░███ ░███ ░███ ░███░███ ░░░  ░███ ░███   ███████  ░███
     ░███ ░███  ███░░███  ░███ ░███ ░███ ░███░███  ███ ░███ ░███  ███░░███  ░███ ███
     ████ █████░░████████ ████ █████░░██████ ░░██████  ████ █████░░███████  ░░█████
    ░░░░ ░░░░░  ░░░░░░░░ ░░░░ ░░░░░  ░░░░░░   ░░░░░░  ░░░░ ░░░░░  ░░░░░░░░   ░░░░░
    
Autodetected device type: cuda
2026-09-02 19:39:52,064 - nanochat.common - [32m[1mINFO[0m - Distributed world size: 8
GPU: NVIDIA A100-SXM4-80GB | Peak FLOPS (BF16): 3.12e+14
COMPUTE_DTYPE: torch.bfloat16 (auto-detected: CUDA SM 80 (bf16 supported))
wandb: Currently logged in as: xidulu (xidulu-umass-amherst) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: creating run
wandb: Tracking run with wandb version 0.21.3
wandb: Run data is saved locally in /weka/scratch/jhu/enalisn1/xiw/nanochat/wandb/run-20260902_193952-d20-from40k-lf-k2-gate_product
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run d20-from40k-lf-k2-gate_product
wandb: ⭐️ View project at https://wandb.ai/xidulu-umass-amherst/nanochat
wandb: 🚀 View run at https://wandb.ai/xidulu-umass-amherst/nanochat/runs/d20-from40k-lf-k2-gate_product
✓ Using Flash Attention 3: efficient, new and awesome.
Vocab size: 32,768
Model config:
{
  "sequence_len": 2048,
  "vocab_size": 32768,
  "n_layer": 20,
  "n_head": 10,
  "n_kv_head": 10,
  "n_embd": 1280,
  "window_pattern": "SSSL",
  "latent_feedback": true,
  "latent_feedback_mode": "gate_product",
  "weight_tying": true
}
Resuming optimization from /home/jhu/xwang457/work/nanochat_cache/base_checkpoints/d20-standard-60k at step 40000
Changing --feedback-start-fraction on resume: checkpoint uses 1.0, requested 0.0
Parameter counts:
wte                     : 0
value_embeds            : 419,430,400
lm_head                 : 41,943,040
transformer_matrices    : 393,217,200
feedback_matrices       : 8,192,000
scalars                 : 66
total                   : 862,782,706
Estimated FLOPs per token (K=1): 2.915704e+09
Estimated FLOPs per token (K=2): 5.851069e+09
Scaling weight decay from 0.280000 to 0.071397 for depth 20
Scaling the LR for the AdamW parameters ∝1/√(1280/768) = 0.774597
Weight tying: shared embedding/head uses the unembedding AdamW hyperparameters
Using user-provided number of iterations: 60,000
Feedback schedule changed on resume: checkpoint boundary step 60000, new boundary step 0
Feedback passes will be active immediately after resume step 40000.
Total number of training tokens: 31,457,280,000
Forward-pass schedule: K=1 for 0 steps, then K=2 for 60,000 steps (boundary step 0)
Forward-pass token equivalents: 62,914,560,000
Tokens : Scaling params ratio: 70.95
Total training FLOPs estimate: 1.840587e+20
Tokens / micro-batch / rank: 16 x 2048 = 32,768
Tokens / micro-batch: 262,144
Total batch size 524,288 => gradient accumulation steps: 2
Step 40000 | Validation bpb: 0.747880 | L1: 0.747880 | L2: 3.138689
step 40000/60000 (66.67%) | K: 2 | loss: 3.500198 | L1: 2.461048 | L2: 10.391495 | lrm: 0.54 | dt: 117617.14ms | tok/sec: 4,457 | bf16_mfu: 1.04 | epoch: 3 pq: 100 rg: 80 | total time: 676.33m | eta: 338.3m
step 40001/60000 (66.67%) | K: 2 | loss: 4.200603 | L1: 2.467332 | L2: 9.122483 | lrm: 0.54 | dt: 2719.56ms | tok/sec: 192,784 | bf16_mfu: 45.19 | epoch: 3 pq: 100 rg: 80 | total time: 676.38m | eta: 338.2m
step 40002/60000 (66.67%) | K: 2 | loss: 4.796850 | L1: 2.486637 | L2: 8.524771 | lrm: 0.54 | dt: 1929.63ms | tok/sec: 271,703 | bf16_mfu: 63.69 | epoch: 3 pq: 100 rg: 80 | total time: 676.41m | eta: 338.2m
step 40003/60000 (66.67%) | K: 2 | loss: 5.287166 | L1: 2.496310 | L2: 8.115315 | lrm: 0.54 | dt: 1935.98ms | tok/sec: 270,812 | bf16_mfu: 63.48 | epoch: 3 pq: 100 rg: 80 | total time: 676.44m | eta: 338.2m
step 40004/60000 (66.67%) | K: 2 | loss: 5.684153 | L1: 2.501980 | L2: 7.770684 | lrm: 0.54 | dt: 1938.43ms | tok/sec: 270,470 | bf16_mfu: 63.40 | epoch: 3 pq: 100 rg: 80 | total time: 676.47m | eta: 338.2m
step 40005/60000 (66.67%) | K: 2 | loss: 5.988322 | L1: 2.497102 | L2: 7.450970 | lrm: 0.54 | dt: 1941.43ms | tok/sec: 270,052 | bf16_mfu: 63.31 | epoch: 3 pq: 100 rg: 80 | total time: 676.51m | eta: 338.2m
step 40006/60000 (66.68%) | K: 2 | loss: 6.236461 | L1: 2.501507 | L2: 7.159157 | lrm: 0.54 | dt: 1941.84ms | tok/sec: 269,995 | bf16_mfu: 63.29 | epoch: 3 pq: 100 rg: 80 | total time: 676.54m | eta: 338.2m
step 40007/60000 (66.68%) | K: 2 | loss: 6.450752 | L1: 2.511859 | L2: 6.916006 | lrm: 0.54 | dt: 1943.58ms | tok/sec: 269,753 | bf16_mfu: 63.24 | epoch: 3 pq: 100 rg: 80 | total time: 676.57m | eta: 338.2m
step 40008/60000 (66.68%) | K: 2 | loss: 6.588456 | L1: 2.506744 | L2: 6.663154 | lrm: 0.54 | dt: 1948.00ms | tok/sec: 269,141 | bf16_mfu: 63.09 | epoch: 3 pq: 100 rg: 80 | total time: 676.60m | eta: 338.2m
step 40009/60000 (66.68%) | K: 2 | loss: 6.722516 | L1: 2.515843 | L2: 6.458672 | lrm: 0.54 | dt: 1948.97ms | tok/sec: 269,007 | bf16_mfu: 63.06 | epoch: 3 pq: 101 rg: 0 | total time: 676.64m | eta: 338.2m
step 40010/60000 (66.68%) | K: 2 | loss: 6.824355 | L1: 2.519228 | L2: 6.273962 | lrm: 0.54 | dt: 1951.12ms | tok/sec: 268,711 | bf16_mfu: 62.99 | epoch: 3 pq: 101 rg: 0 | total time: 676.67m | eta: 338.2m
step 40011/60000 (66.69%) | K: 2 | loss: 6.921676 | L1: 2.541960 | L2: 6.103535 | lrm: 0.54 | dt: 1952.99ms | tok/sec: 268,453 | bf16_mfu: 62.93 | epoch: 3 pq: 101 rg: 0 | total time: 676.70m | eta: 338.2m
step 40012/60000 (66.69%) | K: 2 | loss: 6.963422 | L1: 2.542104 | L2: 5.928183 | lrm: 0.54 | dt: 1952.76ms | tok/sec: 268,485 | bf16_mfu: 62.94 | epoch: 3 pq: 101 rg: 0 | total time: 676.73m | eta: 338.1m
step 40013/60000 (66.69%) | K: 2 | loss: 6.985068 | L1: 2.543738 | L2: 5.758746 | lrm: 0.54 | dt: 1952.34ms | tok/sec: 268,543 | bf16_mfu: 62.95 | epoch: 3 pq: 101 rg: 0 | total time: 676.77m | eta: 338.1m
step 40014/60000 (66.69%) | K: 2 | loss: 6.975780 | L1: 2.537987 | L2: 5.588393 | lrm: 0.54 | dt: 1954.72ms | tok/sec: 268,216 | bf16_mfu: 62.87 | epoch: 3 pq: 101 rg: 0 | total time: 676.80m | eta: 338.1m
step 40015/60000 (66.69%) | K: 2 | loss: 6.970951 | L1: 2.537853 | L2: 5.441400 | lrm: 0.54 | dt: 1955.87ms | tok/sec: 268,058 | bf16_mfu: 62.84 | epoch: 3 pq: 101 rg: 0 | total time: 676.83m | eta: 338.1m
step 40016/60000 (66.69%) | K: 2 | loss: 6.978399 | L1: 2.549904 | L2: 5.314864 | lrm: 0.54 | dt: 1956.18ms | tok/sec: 268,016 | bf16_mfu: 62.83 | epoch: 3 pq: 101 rg: 0 | total time: 676.86m | eta: 338.1m
step 40017/60000 (66.69%) | K: 2 | loss: 6.954109 | L1: 2.549959 | L2: 5.181930 | lrm: 0.54 | dt: 1957.54ms | tok/sec: 267,830 | bf16_mfu: 62.78 | epoch: 3 pq: 101 rg: 0 | total time: 676.90m | eta: 338.1m
step 40018/60000 (66.70%) | K: 2 | loss: 6.945210 | L1: 2.562853 | L2: 5.066808 | lrm: 0.54 | dt: 1958.12ms | tok/sec: 267,750 | bf16_mfu: 62.77 | epoch: 3 pq: 101 rg: 8 | total time: 676.93m | eta: 338.1m
step 40019/60000 (66.70%) | K: 2 | loss: 6.925264 | L1: 2.572816 | L2: 4.954840 | lrm: 0.54 | dt: 1959.45ms | tok/sec: 267,568 | bf16_mfu: 62.72 | epoch: 3 pq: 101 rg: 8 | total time: 676.96m | eta: 338.1m
step 40020/60000 (66.70%) | K: 2 | loss: 6.893303 | L1: 2.578238 | L2: 4.845225 | lrm: 0.54 | dt: 1959.97ms | tok/sec: 267,497 | bf16_mfu: 62.71 | epoch: 3 pq: 101 rg: 8 | total time: 676.99m | eta: 338.1m
step 40021/60000 (66.70%) | K: 2 | loss: 6.849622 | L1: 2.575480 | L2: 4.741024 | lrm: 0.54 | dt: 1965.81ms | tok/sec: 266,703 | bf16_mfu: 62.52 | epoch: 3 pq: 101 rg: 8 | total time: 677.03m | eta: 338.1m
step 40022/60000 (66.70%) | K: 2 | loss: 6.804574 | L1: 2.573943 | L2: 4.642053 | lrm: 0.54 | dt: 1965.95ms | tok/sec: 266,684 | bf16_mfu: 62.52 | epoch: 3 pq: 101 rg: 8 | total time: 677.06m | eta: 338.1m
step 40023/60000 (66.70%) | K: 2 | loss: 6.774214 | L1: 2.580700 | L2: 4.557011 | lrm: 0.54 | dt: 1966.70ms | tok/sec: 266,582 | bf16_mfu: 62.49 | epoch: 3 pq: 101 rg: 8 | total time: 677.09m | eta: 338.0m
step 40024/60000 (66.71%) | K: 2 | loss: 6.732208 | L1: 2.581881 | L2: 4.471322 | lrm: 0.54 | dt: 1967.24ms | tok/sec: 266,509 | bf16_mfu: 62.47 | epoch: 3 pq: 101 rg: 8 | total time: 677.13m | eta: 338.0m
step 40025/60000 (66.71%) | K: 2 | loss: 6.686980 | L1: 2.581726 | L2: 4.388819 | lrm: 0.54 | dt: 1966.93ms | tok/sec: 266,551 | bf16_mfu: 62.48 | epoch: 3 pq: 101 rg: 8 | total time: 677.16m | eta: 338.0m
step 40026/60000 (66.71%) | K: 2 | loss: 6.634066 | L1: 2.578387 | L2: 4.306075 | lrm: 0.54 | dt: 1967.76ms | tok/sec: 266,439 | bf16_mfu: 62.46 | epoch: 3 pq: 101 rg: 16 | total time: 677.19m | eta: 338.0m
step 40027/60000 (66.71%) | K: 2 | loss: 6.589346 | L1: 2.579204 | L2: 4.231602 | lrm: 0.54 | dt: 1967.52ms | tok/sec: 266,471 | bf16_mfu: 62.47 | epoch: 3 pq: 101 rg: 16 | total time: 677.22m | eta: 338.0m
step 40028/60000 (66.71%) | K: 2 | loss: 6.557154 | L1: 2.586027 | L2: 4.167418 | lrm: 0.54 | dt: 1968.51ms | tok/sec: 266,337 | bf16_mfu: 62.43 | epoch: 3 pq: 101 rg: 16 | total time: 677.26m | eta: 338.0m
